Model,Horizon,MAE,RMSE,R2,MBE,IA
Arch1_HGB,24,4.4993,6.2272,0.4493,0.8531,0.7979
Arch2_CNN_LSTM,1,2.7643,3.8313,0.7919,0.1568,0.9422
Arch2_CNN_LSTM,2,2.9177,4.0522,0.7671,0.5645,0.9367
Arch2_CNN_LSTM,3,3.0332,4.2512,0.7434,0.5325,0.9293
Arch2_CNN_LSTM,4,3.2691,4.6002,0.699,0.9004,0.9182
Arch2_CNN_LSTM,5,3.5452,5.0003,0.6436,1.1728,0.9025
Arch2_CNN_LSTM,6,3.6147,5.1635,0.6191,0.9524,0.8928
Arch2_CNN_LSTM,7,3.7666,5.3984,0.5834,0.847,0.8801
Arch2_CNN_LSTM,8,4.0875,5.7951,0.5194,1.3144,0.8641
Arch2_CNN_LSTM,9,4.2007,6.0067,0.483,1.334,0.854
Arch2_CNN_LSTM,10,4.482,6.4267,0.4081,1.6968,0.8405
Arch2_CNN_LSTM,11,4.6392,6.59,0.3781,1.895,0.8305
Arch2_CNN_LSTM,12,4.8169,6.8946,0.32,2.0834,0.821
Arch2_CNN_LSTM,13,4.8034,6.8706,0.326,1.8632,0.8179
Arch2_CNN_LSTM,14,4.9396,7.0862,0.2846,1.9757,0.8099
Arch2_CNN_LSTM,15,5.0486,7.1498,0.273,2.1282,0.8024
Arch2_CNN_LSTM,16,5.1088,7.2105,0.261,2.2039,0.7983
Arch2_CNN_LSTM,17,4.9533,6.9546,0.3127,1.7668,0.7987
Arch2_CNN_LSTM,18,4.8911,6.9049,0.3223,1.4978,0.7989
Arch2_CNN_LSTM,19,4.8889,6.8817,0.3265,1.4224,0.7973
Arch2_CNN_LSTM,20,4.8332,6.7475,0.3529,1.2539,0.794
Arch2_CNN_LSTM,21,4.855,6.807,0.342,1.2439,0.7931
Arch2_CNN_LSTM,22,4.7265,6.6645,0.3703,0.8643,0.7902
Arch2_CNN_LSTM,23,4.8413,6.7563,0.3538,1.1418,0.7846
Arch2_CNN_LSTM,24,4.8587,6.7798,0.349,1.0795,0.7789
Arch3_GNN_LSTM,1,2.8822,4.0307,0.7707,1.6339,0.9364
Arch3_GNN_LSTM,2,3.4341,4.651,0.694,2.3307,0.9201
Arch3_GNN_LSTM,3,3.439,4.7339,0.6821,2.0202,0.9128
Arch3_GNN_LSTM,4,3.5996,4.9865,0.6461,1.9863,0.9017
Arch3_GNN_LSTM,5,3.7779,5.2252,0.6108,2.0487,0.8906
Arch3_GNN_LSTM,6,3.9862,5.5251,0.5641,2.093,0.8766
Arch3_GNN_LSTM,7,3.9946,5.5716,0.5565,1.847,0.8705
Arch3_GNN_LSTM,8,4.1346,5.7679,0.5242,1.9452,0.8628
Arch3_GNN_LSTM,9,4.1364,5.7836,0.5217,1.652,0.855
Arch3_GNN_LSTM,10,4.2233,5.9649,0.4919,1.5997,0.8461
Arch3_GNN_LSTM,11,4.2481,6.0289,0.4821,1.4167,0.8388
Arch3_GNN_LSTM,12,4.2389,6.0509,0.4803,1.1476,0.8318
Arch3_GNN_LSTM,13,4.3692,6.2201,0.4523,1.2168,0.8221
Arch3_GNN_LSTM,14,4.5214,6.3823,0.4246,1.2472,0.8112
Arch3_GNN_LSTM,15,4.5643,6.4681,0.4098,1.1356,0.8006
Arch3_GNN_LSTM,16,4.5793,6.4903,0.4061,1.0041,0.7915
Arch3_GNN_LSTM,17,4.6329,6.555,0.395,1.0089,0.7823
Arch3_GNN_LSTM,18,4.7313,6.6497,0.3774,1.2504,0.7772
Arch3_GNN_LSTM,19,4.8403,6.7248,0.3632,1.5119,0.7702
Arch3_GNN_LSTM,20,4.8955,6.769,0.3556,1.6123,0.7665
Arch3_GNN_LSTM,21,5.0086,6.8617,0.3388,1.8515,0.7599
Arch3_GNN_LSTM,22,4.9329,6.8004,0.3519,1.6215,0.7587
Arch3_GNN_LSTM,23,5.035,6.8611,0.3415,1.8862,0.7608
Arch3_GNN_LSTM,24,5.0139,6.8293,0.3467,1.7109,0.7498
Arch3_Stacking,1,1.1707,1.8796,0.95,0.1821,0.9872
Arch3_Stacking,2,1.8428,2.8401,0.8859,0.3327,0.9694
Arch3_Stacking,3,2.345,3.5457,0.822,0.5697,0.9514
Arch3_Stacking,4,2.7609,4.0836,0.7635,0.694,0.9337
Arch3_Stacking,5,3.0753,4.4952,0.7128,0.9456,0.9193
Arch3_Stacking,6,3.3508,4.8639,0.6631,1.0815,0.904
Arch3_Stacking,7,3.5746,5.166,0.6193,1.1792,0.8893
Arch3_Stacking,8,3.7983,5.4321,0.5787,1.4388,0.8789
Arch3_Stacking,9,3.9617,5.6209,0.5484,1.5424,0.8669
Arch3_Stacking,10,4.175,5.9167,0.4997,1.7265,0.8519
Arch3_Stacking,11,4.3341,6.0792,0.4723,2.0037,0.8467
Arch3_Stacking,12,4.4502,6.2378,0.4451,1.9649,0.8317
Arch3_Stacking,13,4.6127,6.4675,0.4047,1.9029,0.8108
Arch3_Stacking,14,4.7282,6.554,0.3901,1.9469,0.8036
Arch3_Stacking,15,4.6831,6.455,0.4095,1.9098,0.8105
Arch3_Stacking,16,4.7845,6.6485,0.3739,1.8686,0.7935
Arch3_Stacking,17,4.853,6.7516,0.3545,1.9015,0.783
Arch3_Stacking,18,4.8997,6.749,0.3545,2.0029,0.7873
Arch3_Stacking,19,4.9662,6.83,0.3386,2.0387,0.782
Arch3_Stacking,20,4.9551,6.8662,0.3316,1.7674,0.7688
Arch3_Stacking,21,4.9167,6.7688,0.3505,1.7639,0.7728
Arch3_Stacking,22,4.9707,6.7885,0.3467,1.7894,0.7656
Arch3_Stacking,23,4.9329,6.7582,0.3524,1.7695,0.7682
Arch3_Stacking,24,4.9638,6.7193,0.3588,1.8347,0.7702
B1_XGBoost_pfx,1,1.1401,1.841,0.952,0.0475,0.9876
B1_XGBoost_pfx,2,1.8209,2.8201,0.8875,0.2309,0.97
B1_XGBoost_pfx,3,2.2779,3.4256,0.8338,0.4047,0.9548
B1_XGBoost_pfx,4,2.611,3.8826,0.7862,0.5564,0.9408
B1_XGBoost_pfx,5,2.8641,4.2071,0.7485,0.6909,0.9295
B1_XGBoost_pfx,6,3.0937,4.5406,0.7064,0.7492,0.9157
B1_XGBoost_pfx,7,3.2555,4.7466,0.6786,0.8451,0.907
B1_XGBoost_pfx,8,3.4791,5.0282,0.639,1.1988,0.8977
B1_XGBoost_pfx,9,3.5827,5.126,0.6245,1.2716,0.8941
B1_XGBoost_pfx,10,3.7033,5.2773,0.602,1.3821,0.8879
B1_XGBoost_pfx,11,3.7913,5.3756,0.5874,1.4068,0.8818
B1_XGBoost_pfx,12,3.8636,5.4362,0.5786,1.495,0.8793
B1_XGBoost_pfx,13,3.9164,5.5156,0.567,1.5308,0.876
B1_XGBoost_pfx,14,3.9924,5.6001,0.5547,1.5725,0.8715
B1_XGBoost_pfx,15,4.0457,5.6783,0.543,1.6645,0.8685
B1_XGBoost_pfx,16,4.1222,5.7599,0.53,1.724,0.8645
B1_XGBoost_pfx,17,4.138,5.7787,0.5271,1.7955,0.8642
B1_XGBoost_pfx,18,4.1594,5.7874,0.5253,1.785,0.8628
B1_XGBoost_pfx,19,4.2007,5.8613,0.5129,1.7743,0.8577
B1_XGBoost_pfx,20,4.2357,5.9267,0.502,1.8421,0.8573
B1_XGBoost_pfx,21,4.2434,5.9129,0.5044,1.8536,0.8579
B1_XGBoost_pfx,22,4.2033,5.8965,0.5071,1.7961,0.8571
B1_XGBoost_pfx,23,4.1914,5.8865,0.5086,1.7396,0.8559
B1_XGBoost_pfx,24,4.1783,5.8561,0.513,1.6605,0.8557
B1_HGB_pfx,1,1.133,1.8393,0.9521,0.0434,0.9876
B1_HGB_pfx,2,1.8002,2.7816,0.8905,0.2178,0.9708
B1_HGB_pfx,3,2.2668,3.4136,0.835,0.3869,0.955
B1_HGB_pfx,4,2.5925,3.8498,0.7898,0.5351,0.9419
B1_HGB_pfx,5,2.8763,4.2506,0.7432,0.6896,0.9289
B1_HGB_pfx,6,3.0596,4.4722,0.7152,0.8134,0.9194
B1_HGB_pfx,7,3.279,4.7838,0.6735,0.9428,0.9069
B1_HGB_pfx,8,3.4629,5.0019,0.6428,1.1593,0.8989
B1_HGB_pfx,9,3.5504,5.1324,0.6235,1.2124,0.8935
B1_HGB_pfx,10,3.6421,5.2323,0.6087,1.1614,0.8868
B1_HGB_pfx,11,3.7834,5.4041,0.583,1.4266,0.8827
B1_HGB_pfx,12,3.8726,5.5162,0.5661,1.4597,0.8759
B1_HGB_pfx,13,3.9363,5.573,0.5579,1.4974,0.873
B1_HGB_pfx,14,4.0184,5.6819,0.5416,1.5455,0.869
B1_HGB_pfx,15,4.093,5.7851,0.5257,1.6565,0.8646
B1_HGB_pfx,16,4.0322,5.7077,0.5385,1.4612,0.8621
B1_HGB_pfx,17,4.1137,5.8063,0.5226,1.6332,0.8618
B1_HGB_pfx,18,4.142,5.8588,0.5136,1.5983,0.8575
B1_HGB_pfx,19,4.2041,5.9143,0.504,1.6809,0.8572
B1_HGB_pfx,20,4.1473,5.856,0.5138,1.5524,0.8548
B1_HGB_pfx,21,4.1959,5.8852,0.509,1.7173,0.8575
B1_HGB_pfx,22,4.1598,5.8482,0.5152,1.614,0.8544
B1_HGB_pfx,23,4.1514,5.8381,0.5167,1.5045,0.8523
B1_HGB_pfx,24,4.1161,5.8449,0.5148,1.4246,0.8515
B2_CNN_LSTM_pfx,1,2.3955,3.3464,0.8412,-0.1222,0.9585
B2_CNN_LSTM_pfx,2,2.7517,3.933,0.7806,0.222,0.9436
B2_CNN_LSTM_pfx,3,2.9275,4.2383,0.745,0.2067,0.9333
B2_CNN_LSTM_pfx,4,3.1758,4.6126,0.6974,0.5776,0.9222
B2_CNN_LSTM_pfx,5,3.3808,4.9196,0.655,0.7541,0.911
B2_CNN_LSTM_pfx,6,3.416,4.9766,0.6462,0.5698,0.9061
B2_CNN_LSTM_pfx,7,3.4731,5.0816,0.6308,0.5448,0.9006
B2_CNN_LSTM_pfx,8,3.6769,5.3841,0.5851,0.9089,0.8931
B2_CNN_LSTM_pfx,9,3.7395,5.5185,0.5636,0.9561,0.8886
B2_CNN_LSTM_pfx,10,3.8904,5.7528,0.5257,1.263,0.8821
B2_CNN_LSTM_pfx,11,4.0197,5.946,0.4937,1.5077,0.8763
B2_CNN_LSTM_pfx,12,4.111,6.0656,0.4737,1.6949,0.8719
B2_CNN_LSTM_pfx,13,3.9949,5.9091,0.5014,1.3698,0.8747
B2_CNN_LSTM_pfx,14,4.0639,6.0089,0.4856,1.6106,0.8712
B2_CNN_LSTM_pfx,15,4.2542,6.2678,0.4413,1.8603,0.8624
B2_CNN_LSTM_pfx,16,4.2294,6.2534,0.4441,1.9089,0.8624
B2_CNN_LSTM_pfx,17,4.2215,6.1833,0.4567,1.8269,0.8615
B2_CNN_LSTM_pfx,18,4.0714,6.0269,0.4837,1.5074,0.8651
B2_CNN_LSTM_pfx,19,4.0503,6.0448,0.4804,1.4311,0.865
B2_CNN_LSTM_pfx,20,4.0532,6.0073,0.4871,1.3236,0.8654
B2_CNN_LSTM_pfx,21,3.9836,6.0044,0.488,1.2392,0.866
B2_CNN_LSTM_pfx,22,3.9168,5.931,0.5013,1.13,0.867
B2_CNN_LSTM_pfx,23,3.9785,6.0478,0.4822,1.2678,0.8644
B2_CNN_LSTM_pfx,24,3.9773,6.0349,0.4842,1.318,0.8643
B3_GNN_LSTM_pfx,1,2.6808,3.7634,0.8001,1.108,0.9485
B3_GNN_LSTM_pfx,2,2.9189,4.1047,0.7617,0.9903,0.9368
B3_GNN_LSTM_pfx,3,3.2976,4.6137,0.6981,1.4227,0.9215
B3_GNN_LSTM_pfx,4,3.3926,4.7741,0.6756,1.2366,0.9133
B3_GNN_LSTM_pfx,5,3.5812,5.0683,0.6338,1.3232,0.9027
B3_GNN_LSTM_pfx,6,3.7398,5.2721,0.6031,1.4112,0.8947
B3_GNN_LSTM_pfx,7,3.8475,5.4769,0.5714,1.4385,0.8875
B3_GNN_LSTM_pfx,8,3.95,5.6096,0.55,1.511,0.8821
B3_GNN_LSTM_pfx,9,3.9897,5.6975,0.5358,1.4878,0.8792
B3_GNN_LSTM_pfx,10,4.2102,6.0255,0.4815,1.9359,0.8693
B3_GNN_LSTM_pfx,11,4.391,6.3144,0.4319,2.1922,0.862
B3_GNN_LSTM_pfx,12,4.3493,6.303,0.4361,2.0759,0.8623
B3_GNN_LSTM_pfx,13,4.3268,6.3051,0.4372,1.9614,0.8625
B3_GNN_LSTM_pfx,14,4.2555,6.1528,0.4652,1.8411,0.8661
B3_GNN_LSTM_pfx,15,4.2481,6.1786,0.4614,1.9149,0.867
B3_GNN_LSTM_pfx,16,4.257,6.2177,0.4549,1.9973,0.8663
B3_GNN_LSTM_pfx,17,4.1904,6.1191,0.4728,1.8895,0.8691
B3_GNN_LSTM_pfx,18,4.0701,5.9739,0.4975,1.6287,0.8723
B3_GNN_LSTM_pfx,19,4.0149,5.8256,0.5222,1.5415,0.8737
B3_GNN_LSTM_pfx,20,3.9155,5.7208,0.5397,1.299,0.8768
B3_GNN_LSTM_pfx,21,3.9135,5.7664,0.533,1.3003,0.8762
B3_GNN_LSTM_pfx,22,3.9573,5.7467,0.5372,1.4547,0.877
B3_GNN_LSTM_pfx,23,3.9506,5.7166,0.5429,1.4436,0.8775
B3_GNN_LSTM_pfx,24,3.8626,5.613,0.5587,1.2311,0.8783
B3_Stacking_pfx,1,1.1691,1.8843,0.9498,0.1829,0.9871
B3_Stacking_pfx,2,1.834,2.8256,0.887,0.378,0.9701
B3_Stacking_pfx,3,2.3225,3.4886,0.8277,0.5649,0.9533
B3_Stacking_pfx,4,2.6508,3.9772,0.7756,0.6842,0.9378
B3_Stacking_pfx,5,2.9326,4.3957,0.7254,0.7495,0.9219
B3_Stacking_pfx,6,3.1227,4.6451,0.6927,0.8401,0.9132
B3_Stacking_pfx,7,3.3061,4.8544,0.6638,0.9658,0.9044
B3_Stacking_pfx,8,3.4616,5.03,0.6388,1.1853,0.8984
B3_Stacking_pfx,9,3.5919,5.1619,0.6192,1.3094,0.8908
B3_Stacking_pfx,10,3.7408,5.3914,0.5846,1.2787,0.8786
B3_Stacking_pfx,11,3.8854,5.5105,0.5664,1.5639,0.8753
B3_Stacking_pfx,12,3.9816,5.6979,0.537,1.7019,0.8706
B3_Stacking_pfx,13,4.1187,5.8476,0.5133,1.7438,0.8579
B3_Stacking_pfx,14,4.1209,5.8398,0.5158,1.755,0.858
B3_Stacking_pfx,15,4.1579,5.821,0.5198,1.808,0.8606
B3_Stacking_pfx,16,4.2186,5.8985,0.5072,1.7977,0.8552
B3_Stacking_pfx,17,4.2874,6.0417,0.4831,1.9159,0.8531
B3_Stacking_pfx,18,4.2995,6.0644,0.4788,1.9415,0.8506
B3_Stacking_pfx,19,4.3194,6.0322,0.484,1.8837,0.8496
B3_Stacking_pfx,20,4.4115,6.1968,0.4556,1.9804,0.8426
B3_Stacking_pfx,21,4.4472,6.1902,0.4568,2.0407,0.8451
B3_Stacking_pfx,22,4.4083,6.0995,0.4726,1.9998,0.8451
B3_Stacking_pfx,23,4.3906,6.086,0.4748,1.9584,0.8429
B3_Stacking_pfx,24,4.3622,6.0922,0.4729,1.8598,0.8399
C1_XGBoost_full,1,1.1358,1.8379,0.9522,0.0463,0.9877
C1_XGBoost_full,2,1.8194,2.822,0.8873,0.235,0.97
C1_XGBoost_full,3,2.2707,3.4309,0.8333,0.4101,0.9546
C1_XGBoost_full,4,2.6063,3.8775,0.7867,0.6087,0.9412
C1_XGBoost_full,5,2.9256,4.2862,0.7389,0.9156,0.9278
C1_XGBoost_full,6,3.1747,4.6038,0.6982,1.106,0.9158
C1_XGBoost_full,7,3.3949,4.9214,0.6545,1.2148,0.9031
C1_XGBoost_full,8,3.5462,5.1191,0.6259,1.3625,0.8955
C1_XGBoost_full,9,3.6616,5.2697,0.6031,1.4814,0.8898
C1_XGBoost_full,10,3.7818,5.4432,0.5766,1.6173,0.8842
C1_XGBoost_full,11,3.8954,5.5584,0.5589,1.6714,0.8779
C1_XGBoost_full,12,3.9716,5.6657,0.5422,1.724,0.8722
C1_XGBoost_full,13,4.0277,5.7308,0.5326,1.748,0.8691
C1_XGBoost_full,14,4.0726,5.8248,0.5183,1.8066,0.8652
C1_XGBoost_full,15,4.169,5.9646,0.4958,1.8872,0.8599
C1_XGBoost_full,16,4.2327,6.0266,0.4855,1.9329,0.8563
C1_XGBoost_full,17,4.2828,6.1115,0.4711,2.0379,0.8536
C1_XGBoost_full,18,4.3127,6.14,0.4657,2.0624,0.8525
C1_XGBoost_full,19,4.3595,6.1795,0.4585,2.1234,0.8498
C1_XGBoost_full,20,4.4164,6.2881,0.4394,2.1934,0.8473
C1_XGBoost_full,21,4.4093,6.2521,0.4459,2.1785,0.8473
C1_XGBoost_full,22,4.4195,6.2215,0.4513,2.1912,0.8486
C1_XGBoost_full,23,4.3802,6.1916,0.4564,2.1516,0.8495
C1_XGBoost_full,24,4.3907,6.2369,0.4476,2.1104,0.8462
C1_HGB_full,1,1.1323,1.8409,0.9521,0.0443,0.9876
C1_HGB_full,2,1.7979,2.7812,0.8905,0.2198,0.9708
C1_HGB_full,3,2.2687,3.4299,0.8334,0.3951,0.9546
C1_HGB_full,4,2.6007,3.8782,0.7867,0.5456,0.9408
C1_HGB_full,5,2.8655,4.2228,0.7466,0.7183,0.9293
C1_HGB_full,6,3.0729,4.5341,0.7072,0.7457,0.9157
C1_HGB_full,7,3.2605,4.7628,0.6764,1.0159,0.9092
C1_HGB_full,8,3.4406,5.0126,0.6413,1.2313,0.9002
C1_HGB_full,9,3.5428,5.1182,0.6256,1.1645,0.8918
C1_HGB_full,10,3.6961,5.32,0.5955,1.3144,0.8839
C1_HGB_full,11,3.8357,5.4972,0.5685,1.6066,0.8805
C1_HGB_full,12,3.8999,5.6273,0.5484,1.6229,0.8748
C1_HGB_full,13,4.0556,5.7446,0.5303,1.6714,0.8665
C1_HGB_full,14,4.1099,5.8469,0.5146,1.7009,0.8617
C1_HGB_full,15,4.1718,5.9047,0.5059,1.779,0.8586
C1_HGB_full,16,4.2421,5.9435,0.4996,1.8836,0.8566
C1_HGB_full,17,4.2572,5.946,0.4993,1.8789,0.8557
C1_HGB_full,18,4.1523,5.8574,0.5138,1.7366,0.8554
C1_HGB_full,19,4.3549,6.0848,0.475,1.9408,0.8498
C1_HGB_full,20,4.5217,6.4222,0.4153,2.1838,0.8405
C1_HGB_full,21,4.3341,6.0677,0.4781,1.9516,0.8504
C1_HGB_full,22,4.3505,6.0659,0.4784,2.0179,0.8498
C1_HGB_full,23,4.3568,6.0881,0.4744,2.0017,0.8486
C1_HGB_full,24,4.3339,6.1099,0.4699,1.9172,0.8476
C2_CNN_LSTM_full,1,2.6749,3.7376,0.802,1.0914,0.9513
C2_CNN_LSTM_full,2,2.9796,4.2437,0.7446,1.1228,0.9367
C2_CNN_LSTM_full,3,3.3574,4.786,0.6748,1.4344,0.9201
C2_CNN_LSTM_full,4,3.7016,5.297,0.6009,1.7407,0.9042
C2_CNN_LSTM_full,5,4.0184,5.8045,0.5197,2.0493,0.888
C2_CNN_LSTM_full,6,4.2752,6.1773,0.4548,2.2763,0.8754
C2_CNN_LSTM_full,7,4.4343,6.4826,0.3992,2.4407,0.8662
C2_CNN_LSTM_full,8,4.4432,6.4176,0.4106,2.3333,0.866
C2_CNN_LSTM_full,9,4.3792,6.4004,0.413,2.171,0.8658
C2_CNN_LSTM_full,10,4.5776,6.6824,0.36,2.5065,0.8583
C2_CNN_LSTM_full,11,4.7035,6.8885,0.3205,2.7467,0.8533
C2_CNN_LSTM_full,12,4.6573,6.7515,0.348,2.6469,0.8556
C2_CNN_LSTM_full,13,4.8077,7.0102,0.2983,2.9028,0.8497
C2_CNN_LSTM_full,14,4.771,6.9122,0.3193,2.8621,0.8521
C2_CNN_LSTM_full,15,4.8337,7.0391,0.2953,2.9702,0.8501
C2_CNN_LSTM_full,16,4.7234,6.9051,0.3223,2.8106,0.8524
C2_CNN_LSTM_full,17,4.5524,6.6416,0.3732,2.4879,0.8589
C2_CNN_LSTM_full,18,4.6394,6.7975,0.3432,2.6377,0.8556
C2_CNN_LSTM_full,19,4.5777,6.7674,0.3487,2.5477,0.8563
C2_CNN_LSTM_full,20,4.4892,6.6488,0.3717,2.3641,0.859
C2_CNN_LSTM_full,21,4.4822,6.693,0.3639,2.3521,0.8583
C2_CNN_LSTM_full,22,4.2777,6.4582,0.4087,2.0375,0.8639
C2_CNN_LSTM_full,23,4.4727,6.7302,0.3588,2.4591,0.8573
C2_CNN_LSTM_full,24,4.3838,6.6583,0.3721,2.2841,0.8567
C3_GNN_LSTM_full,1,2.6808,3.7634,0.8001,1.108,0.9485
C3_GNN_LSTM_full,2,2.9189,4.1047,0.7617,0.9903,0.9368
C3_GNN_LSTM_full,3,3.2976,4.6137,0.6981,1.4227,0.9215
C3_GNN_LSTM_full,4,3.3926,4.7741,0.6756,1.2366,0.9133
C3_GNN_LSTM_full,5,3.5812,5.0683,0.6338,1.3232,0.9027
C3_GNN_LSTM_full,6,3.7398,5.2721,0.6031,1.4112,0.8947
C3_GNN_LSTM_full,7,3.8475,5.4769,0.5714,1.4385,0.8875
C3_GNN_LSTM_full,8,3.95,5.6096,0.55,1.511,0.8821
C3_GNN_LSTM_full,9,3.9897,5.6975,0.5358,1.4878,0.8792
C3_GNN_LSTM_full,10,4.2102,6.0255,0.4815,1.9359,0.8693
C3_GNN_LSTM_full,11,4.391,6.3144,0.4319,2.1922,0.862
C3_GNN_LSTM_full,12,4.3493,6.303,0.4361,2.0759,0.8623
C3_GNN_LSTM_full,13,4.3268,6.3051,0.4372,1.9614,0.8625
C3_GNN_LSTM_full,14,4.2555,6.1528,0.4652,1.8411,0.8661
C3_GNN_LSTM_full,15,4.2481,6.1786,0.4614,1.9149,0.867
C3_GNN_LSTM_full,16,4.257,6.2177,0.4549,1.9973,0.8663
C3_GNN_LSTM_full,17,4.1904,6.1191,0.4728,1.8895,0.8691
C3_GNN_LSTM_full,18,4.0701,5.9739,0.4975,1.6287,0.8723
C3_GNN_LSTM_full,19,4.0149,5.8256,0.5222,1.5415,0.8737
C3_GNN_LSTM_full,20,3.9155,5.7208,0.5397,1.299,0.8768
C3_GNN_LSTM_full,21,3.9135,5.7664,0.533,1.3003,0.8762
C3_GNN_LSTM_full,22,3.9573,5.7467,0.5372,1.4547,0.877
C3_GNN_LSTM_full,23,3.9506,5.7166,0.5429,1.4436,0.8775
C3_GNN_LSTM_full,24,3.8626,5.613,0.5587,1.2311,0.8783
C3_Stacking_full,1,1.1646,1.8748,0.9503,0.1779,0.9872
C3_Stacking_full,2,1.8296,2.8142,0.8879,0.3794,0.9702
C3_Stacking_full,3,2.3215,3.4882,0.8277,0.5681,0.9534
C3_Stacking_full,4,2.6582,3.991,0.7741,0.6953,0.9375
C3_Stacking_full,5,2.9226,4.3604,0.7298,0.7912,0.9236
C3_Stacking_full,6,3.1217,4.65,0.6921,0.8843,0.9136
C3_Stacking_full,7,3.2867,4.839,0.666,0.9849,0.9049
C3_Stacking_full,8,3.4959,5.1287,0.6245,1.2894,0.8964
C3_Stacking_full,9,3.6261,5.2628,0.6041,1.3971,0.8872
C3_Stacking_full,10,3.7143,5.3218,0.5952,1.402,0.8825
C3_Stacking_full,11,3.9164,5.5607,0.5585,1.7309,0.8773
C3_Stacking_full,12,3.9669,5.6932,0.5378,1.7448,0.8702
C3_Stacking_full,13,4.0984,5.8394,0.5147,1.7915,0.8608
C3_Stacking_full,14,4.1083,5.8187,0.5193,1.7829,0.8602
C3_Stacking_full,15,4.1288,5.8092,0.5217,1.9041,0.8654
C3_Stacking_full,16,4.2047,5.9376,0.5006,1.8904,0.8561
C3_Stacking_full,17,4.2865,6.0648,0.4791,2.0554,0.8546
C3_Stacking_full,18,4.3013,6.0833,0.4756,2.0449,0.8526
C3_Stacking_full,19,4.3814,6.2102,0.4532,2.0866,0.8463
C3_Stacking_full,20,4.3797,6.2073,0.4538,2.01,0.8401
C3_Stacking_full,21,4.414,6.2706,0.4426,2.1154,0.8412
C3_Stacking_full,22,4.421,6.2918,0.4388,2.1251,0.8399
C3_Stacking_full,23,4.3902,6.2296,0.4497,2.0902,0.8409
